Hex	Category	Name	Environment	Description
#43302E	reds	Old Burgundy		A deep, aged red-brown that captures the rich color of well-aged wine from the Burgundy region of France. This color represents tradition, sophistication, and the art of fine winemaking. Old burgundy's association with luxury, heritage, and refined taste has made it popular in high-end design and wine industry branding.
#436B95	blues	Queen Blue		A dignified, royal blue that represents the authority and grace of queenship. This color symbolizes regal power, feminine leadership, and the balance of strength and elegance. Queen blue's association with royal authority and feminine power has made it significant in ceremonial and luxury design.
#43B3AE	blues	Verdigris		A blue-green pigment created by exposing copper to acetic acid vapors, resulting in copper acetate. This ancient pigment was used extensively in medieval illuminated manuscripts and Renaissance paintings. The name comes from the Old French 'vert de Grece' (green of Greece), though it was produced throughout Europe. Verdigris has a unique aging process - it starts as a bright green but gradually darkens to a deep blue-green over time, making it unpredictable but beautiful in historical artworks.
#444C38	greens	Rifle Green		Traditional uniform color of 19th‑century British rifle regiments.
#4666FF	blues	Neon Blue	night		A bright, electric blue that mimics the glow of neon gas when electrified. This color represents modern technology, urban nightlife, and the energy of city environments. Neon blue's association with contemporary culture and digital innovation has made it popular in entertainment and technology branding.
#4682B4	blues	Steel Blue		A grayish blue reflecting the cool sheen of tempered steel.
#470659	purples	Petunia		A deep, rich purple inspired by the petunia flower, which has been cultivated for its beauty and variety of colors since the 19th century. This color represents the diversity of natural beauty and the joy of garden cultivation. Petunia's association with horticultural beauty and natural variety has made it popular in garden and floral design.
#47ABCC	blues	Maximum Blue		A soft medium blue reminiscent of clear skies.
#483C32	oranges	Taupe		A brownish gray named from the French word for mole, fashionable in 19th-century Paris.
#483D8B	blues	Dark Slate Blue		A deep blue-violet reminiscent of slate rock at dusk.
#48D1CC	blues	Medium Turquoise		A balanced blue-green that captures the color of tropical waters and coral reefs. This color represents the beauty and tranquility of marine environments and the rich biodiversity of ocean ecosystems. Medium turquoise's association with beach vacations and ocean conservation has made it popular in travel and environmental branding.
#49796B	greens	Hooker'S Green		Developed by illustrator William Hooker for accurately painting botanical foliage.
#4A0000	reds	Oxblood		A deep, rich red-brown inspired by the color of ox blood, which was used in traditional leather tanning and dyeing processes. This color represents strength, tradition, and the connection between human craft and natural materials. Oxblood's association with heritage craftsmanship and luxury leather goods has made it popular in high-end fashion and traditional design.
#4A412A	oranges	Drab Dark Brown		A dull brown long used in military uniforms for inconspicuous camouflage.
#4A646C	blues	Deep Space Sparkle		Crayola color inspired by the faint glimmer of stars in distant space.
#4B3621	oranges	Café Noir		Named for French 'black coffee,' this rich brown evokes roasted beans.
#4B6F44	greens	Artichoke Green		A muted green resembling cooked artichoke leaves, common in vintage kitchenware.
#4C2882	purples	Spanish Violet		A deep purple once popular in Spanish velvet and formal attire.
#4C516D	blues	Independence		A dignified gray-blue named for the historic shades used in Independence Hall.
#4C9141	greens	May Green		Evokes the fresh shoots of early May, symbolizing new spring growth.
#4CBB17	greens	Kelly Green		A bright, vivid green named after the common Irish surname Kelly, representing the lush green landscape of Ireland. This color has become strongly associated with Irish culture and St. Patrick's Day celebrations. Kelly green's vibrant, cheerful quality has made it popular in sports uniforms, particularly for teams with Irish heritage. The color's association with luck, nature, and Irish pride has made it a beloved choice in fashion and design.
#4D8C57	greens	Middle Green		An intermediate hue once used in military uniforms between olive and field greens.
#4E5180	blues	Purple Navy		A deep, sophisticated blue-purple that combines the authority of navy with the elegance of purple. This color represents professional dignity, institutional trust, and the balance between tradition and innovation. Purple navy's association with corporate authority and professional excellence has made it popular in business and institutional branding.
#4F7942	greens	Fern Green		Reflects the deep color of mature fern fronds in shaded woods.
#5072A7	blues	Blue Yonder		A hazy sky blue suggesting distant horizons.
#507D2A	greens	Sap Green		Historically made from buckthorn berries, prized by painters for foliage.
#50C878	greens	Emerald		A brilliant green pigment inspired by the precious gemstone emerald, which gets its color from trace amounts of chromium and vanadium. The synthetic pigment was developed in the 19th century as a safer alternative to the toxic emerald green (copper arsenite). This color captures the lush, vibrant quality of the gemstone and has been used extensively in decorative arts and fashion, particularly during the Art Nouveau period when emerald green was a signature color.
#512888	purples	KSU Purple		Kansas State University's official color representing school pride.
#5271FF	blues	Vantg Blue		A vivid digital blue valued for crisp contrast on screens.
#536878	blues	Dark Electric Blue		A moody teal reminiscent of vintage electronics casings.
#543D37	reds	Dark Liver (Horses)		Similar to a fresh rose, it's a muted dark red.
#545AA7	blues	Liberty		A dignified blue-purple that represents the ideals of freedom, democracy, and independence. This color has been associated with liberty and justice throughout history, particularly in the context of American democracy. Liberty blue's association with constitutional rights and civic pride has made it popular in government and educational institutions. The color's balanced, authoritative quality reflects the stability and strength of democratic principles.
#54626F	blues	Black Coral		Deep blue-gray recalling coral skeletons from ocean depths.
#555555	neutrals	Davy'S Grey		Named for 19th-century colorist Henry Davy, a staple gray for artists.
#555D50	greens	Ebony		A near-black shade named for the dense tropical hardwood.
#556B2F	greens	Dark Olive Green		A deep, earthy green inspired by the olive tree (Olea europaea), which has been cultivated in the Mediterranean for over 6,000 years. Olive green's association with peace comes from the olive branch as a symbol of reconciliation. This color has been used extensively in military uniforms for its camouflage properties, and its natural, muted quality makes it popular in outdoor gear and sustainable design.
#563C5C	purples	English Violet		A dark Victorian-era dye used in luxury fabrics.
#56887D	blues	Wintergreen Dream		A soft, dreamy blue-green inspired by the wintergreen plant and the peaceful quality of winter landscapes. Wintergreen Dream evokes the tranquility of snow-covered forests, the gentle beauty of evergreen foliage, and the meditative calm of winter nature. This color is often used in design to convey serenity, natural beauty, and the peaceful contemplation of winter scenes.
#56A0D3	blues	Carolina Blue		The University of North Carolina's signature light blue.
#58427C	purples	Cyber Grape		A futuristic purple that rose to popularity in late-1990s graphics.
#59260B	oranges	Seal Brown		Dark brown like the glossy coats of seals, often used in leatherwork.
#5946B2	blues	Plump Purple		A rich, vibrant purple that captures the fullness and vitality of ripe fruit. This color represents abundance, satisfaction, and the natural beauty of harvest time. Plump Purple's association with natural richness and seasonal abundance has made it popular in food and agricultural branding.
#5B3256	purples	Japanese Violet		A subdued purple found in traditional Japanese dyes.
#5B8DBF	blues	Winter Glaucous		A clearer, vibrant blue-gray inspired by the glaucous appearance of plants in winter, where a waxy coating gives leaves and stems a cool, bluish tint. This color represents the quiet beauty of winter landscapes and the resilience of nature during cold seasons. Winter Glaucous's association with seasonal change and natural adaptation has made it popular in environmental and seasonal design.
#5D3954	purples	Dark Byzantium		A deep plum shade inspired by Byzantine mosaics and art.
#5DA493	blues	Polished Pine		A refined, sophisticated green inspired by polished pine wood, which has been valued for its beauty and workability in furniture making for centuries. This color represents craftsmanship, natural elegance, and the enduring appeal of wooden furniture. Polished Pine's association with traditional woodworking and home design has made it popular in furniture and interior design.
#5DADEC	blues	Blue Jeans		The classic faded denim blue of well-worn jeans.
#5E8C31	greens	Maximum Green		A balanced mid-green featured in early Crayola crayon sets.
#5F9EA0	blues	Cadet Blue		Named for U.S. military cadet uniforms, blending blue with gray.
#5FA778	greens	Shiny Shamrock		Bright shamrock green celebrating Irish heritage.
#6050DC	blues	Majorelle Blue		Named for the Majorelle Garden in Marrakech with its cobalt walls.
#6082B6	blues	Glaucous		A soft, dusty blue-gray that takes its name from the Greek 'glaukos,' meaning bluish-gray or silvery. First used as a color name in English during the mid-1600s, glaucous also serves as a botanical adjective describing leaves covered with a gray or blue coating that can be rubbed off. This color is often used to describe the powdery bloom on grapes, plums, and other fruits, as well as the subtle blue-gray tint of certain leaves. Glaucous has a gentle, understated quality that makes it popular in interior design and fashion, where it provides a sophisticated alternative to more vibrant blues.
#612086	purples	Seance		A dramatic purple associated with mysticism and the occult.
#614051	purples	Eggplant		A dark purplish brown similar to cooked eggplant skin.
#635147	oranges	Umber		Earthy pigment from iron-rich clay used by Renaissance painters.
#644117	oranges	Pullman Brown (UPS Brown)		A deep, reliable brown named after the Pullman Company, which manufactured luxury railroad cars, and later adopted by UPS for their delivery vehicles. This color represents reliability, trustworthiness, and the dependable service of transportation and logistics. Pullman Brown's association with professional service and corporate reliability has made it significant in business and delivery branding.
#6495ED	blues	Cornflower Blue		A clear sky blue named for the European cornflower.
#65000B	reds	Rosewood		The deep reddish brown of rosewood timber used in fine instruments.
#654321	oranges	Dark Brown		A chocolate-brown tone reminiscent of fertile soil.
#660000	reds	Blood Red		A dark crimson historically used in heraldry and flags.
#66023C	purples	Tyrian Purple		The legendary royal purple of antiquity, extracted from the mucus of Mediterranean sea snails (Murex brandaris). This incredibly expensive dye required thousands of snails to produce a single gram, making it worth more than gold. Roman emperors reserved it exclusively for their togas, and Byzantine rulers used it to sign imperial decrees. The color's rarity and cost made it the ultimate symbol of power and wealth in the ancient world.
#663399	purples	Rebecca Purple		Named in memory of web pioneer Eric Meyer's daughter Rebecca.
#664228	oranges	Van Dyke Brown		Rich brown pigment favored by painter Anthony van Dyck.
#665D1E	yellows	Antique Bronze		A muted metallic gold suggestive of aged bronze statuary.
#6699CC	blues	Blue-Gray (Crayola)		A mid-century Crayola blend of blue and gray popular in school art kits.
#66DDAA	greens	Medium Aquamarine		A refreshing blue-green inspired by the aquamarine gemstone, which has been prized for its ocean-like color since ancient times. This color represents the clear, tropical waters of the Caribbean and the tranquility of marine environments. Medium aquamarine's association with water, healing, and communication has made it popular in jewelry and wellness design.
#66FF66	greens	Screamin' Green		Neon green introduced by Crayola in 1990 for bold art.
#673147	purples	Old Mauve		A deep, aged purple that represents the faded elegance of the original mauve dye discovered by William Henry Perkin in 1856. This color represents the historical significance of synthetic dyes and the evolution of fashion technology. Old mauve's association with Victorian innovation and textile history has made it significant in heritage and museum contexts.
#674846	reds	Rose Ebony		A dusky mauve-brown reminiscent of dried rose petals.
#674C47	reds	Liver		A brownish red resembling raw liver, once common in uniforms.
#676767	neutrals	Granite Gray		A neutral gray reflecting the appearance of polished granite.
#679267	greens	Russian Green		A dark green historically used on Russian military vehicles.
#682860	purples	Palatinate Purple		A deep, regal purple named after the Palatinate region of Germany, which was historically associated with nobility and power. This color represents aristocratic heritage, authority, and the traditions of European royalty. Palatinate purple's association with historical prestige and cultural heritage has made it significant in heraldic and traditional design.
#683068	purples	Finn		A twilight purple named for the Nordic dusk.
#696969	neutrals	Dim Gray		A standard mid-gray for understated design schemes.
#6A0DAD	purples	Purple		A deep, regal purple that has been associated with royalty, luxury, and spiritual significance throughout human history. This color represents power, wisdom, and the mysterious depths of human consciousness. Purple's association with nobility and spiritual insight has made it popular in luxury branding and spiritual design.
#6A5ACD	blues	Slate Blue		A subdued lavender-blue reminiscent of weathered slate.
#6A5DFF	blues	Indigo		A deep blue-purple dye derived from the indigo plant (Indigofera tinctoria), which has been cultivated for over 4,000 years. Indigo was one of the most valuable trade goods in history, driving exploration and colonization. The dye was used to create the iconic blue jeans and has been associated with wisdom, intuition, and spirituality. Indigo's rich, complex hue has made it a favorite in textile arts and continues to inspire artists and designers worldwide.
#6B4423	oranges	Kobicha		A deep brown once used in traditional Japanese kimonos and tea ware.
#6B8E23	greens	Olive Drab (#3)		A military green that was standardized for U.S. Army uniforms and equipment during World War II. This color represents discipline, service, and the practical application of camouflage in military contexts. Olive Drab's association with military heritage and outdoor utility has made it popular in tactical gear and outdoor equipment.
#6C0277	purples	Zinzolin		A deep, rich purple derived from the French word 'zinzolin,' referring to a type of purple dye used in medieval textiles. Zinzolin represents the luxury and prestige of historical purple dyes, which were among the most expensive and sought-after colors in medieval Europe. This color is often used in design to convey opulence, historical significance, and the enduring appeal of royal purple traditions.
#6C2E1F	reds	Liver (Organ)		A soft dark red reminiscent of a fresh rose.
#6C3082	purples	Eminence		A regal purple named for the rank of Catholic cardinals.
#6C541E	oranges	Field Drab		A WWII U.S. Army camouflage brown suited for muddy terrain.
#6CA0DC	blues	Little Boy Blue		A soft, gentle blue inspired by the nursery rhyme character who fell asleep in a haystack. This color represents innocence, childhood wonder, and peaceful dreams. Little boy blue's association with youth and simplicity has made it popular in children's products and educational materials. The color's sweet, nostalgic quality evokes feelings of carefree childhood and gentle innocence.
#6D9BC3	blues	Cerulean Frost		A pale blue-gray suggesting the chill of a winter morning.
#6EAEA1	blues	Green Sheen		A muted medium blue reminiscent of a twilight horizon.
#6F4E37	oranges	Coffee		A soft medium orange reminiscent of fresh coffee.
#701C1C	reds	Persian Plum		A deep, rich red-brown inspired by the traditional ceramics and textiles of Persia, where this color has been used in decorative arts for centuries. This color represents the depth of Persian cultural heritage and the rich traditions of Middle Eastern craftsmanship. Persian plum's association with classical elegance and cultural sophistication has made it popular in heritage and luxury design.
#702670	purples	Midnight	night		A deep, mysterious purple that captures the color of the night sky at its darkest hour. This color represents the unknown, the mystical, and the hidden depths of the universe. Midnight's association with mystery and introspection has made it popular in spiritual and contemplative design contexts.
#702963	purples	Byzantium		A regal purple named for the Byzantine Empire, recalling the imperial dyes used in mosaics and ceremonial robes.
#703642	reds	Catawba		A deep reddish-purple named after the American Catawba grape, once popular in 19th‑century wines.
#704214	oranges	Sepia		Similar to tangerine peel, it's a vibrant dark orange.
#708090	blues	Slate Gray		A muted medium blue reminiscent of clear skies.
#71A6D2	blues	Iceberg		A soft light blue reminiscent of clear skies.
#722F37	reds	Wine		A deep, rich red inspired by the complex flavors and centuries-old traditions of winemaking. Wine color evokes the sophistication of fine dining, the warmth of social gatherings, and the cultural heritage of viticulture that spans from ancient Rome to modern vineyards. This color is often used in design to convey elegance, celebration, and the refined pleasures of life.
#727472	neutrals	Nickel		A cool, metallic gray that mimics the appearance of nickel metal, which has been used in coins, jewelry, and industrial applications for centuries. This color represents durability, reliability, and industrial strength. Nickel's association with precision engineering and quality craftsmanship has made it popular in automotive and industrial design.
#72A0C1	blues	Air Superiority Blue		A sophisticated blue-gray that represents the technological advantage and strategic dominance of modern air forces. This color symbolizes the precision, power, and advanced capabilities of military aviation, having been used in aircraft livery and military insignia. Air superiority blue's association with technological excellence and strategic advantage has made it significant in aerospace and defense design.
#733380	purples	Maximum Purple		Crayola introduced this bold shade in the 1970s to capture the brightest end of the purple spectrum.
#738678	greens	Xanadu		A sophisticated gray-green inspired by the legendary city of Xanadu, described in Samuel Taylor Coleridge's poem 'Kubla Khan' as a place of exotic beauty and opulence. Xanadu color evokes the mystery of ancient civilizations, the allure of distant lands, and the romantic imagination of poetic landscapes. This color is often used in design to convey sophistication, mystery, and the exotic appeal of faraway places.
#73C2FB	blues	Maya Blue		An ancient, brilliantly durable blue pigment created by the Maya civilization around 800 CE. Maya blue is a unique combination of indigo dye and the clay mineral palygorskite, resulting in a color that has survived centuries on murals and pottery. Its secret recipe was lost for centuries and only recently rediscovered by scientists. The pigment's resilience and vibrant hue made it sacred in Maya rituals and art.
#74C365	greens	Mantis		Similar to fresh herbs, it's a soft medium green.
#757575	neutrals	Sonic Silver		A sleek metallic gray favored in high‑tech design for its futuristic, minimal look.
#764374	purples	Secret		A muted plum shade once popular in 1920s cosmetics, lending an air of intrigue.
#766EC8	blues	Violet-Blue (Crayola)		A Crayola classic blending violet and blue, used to teach children about color mixing.
#76D7EA	blues	Sky Blue (Crayola)		Introduced in 1958, this cheerful hue recalls wide-open skies.
#777696	blues	Rhythm		A subdued blue-gray whose name evokes the smooth tempo of mid‑century jazz clubs.
#778899	blues	Light Slate Gray		A sophisticated gray-blue that mimics the appearance of weathered slate rock. This color represents durability, stability, and timeless elegance. Light slate gray's association with natural stone and architectural materials has made it popular in interior design and urban planning. The color's neutral, professional quality makes it ideal for creating sophisticated, balanced environments.
#778BA5	blues	Shadow Blue		A muted medium blue reminiscent of a twilight horizon.
#77B5FE	blues	French Sky Blue		A bright azure once common on 18th‑century French uniforms.
#78184A	purples	Pansy Purple		A deep, rich purple inspired by the pansy flower, which has been cultivated for its beauty and symbolism since ancient times. This color represents thoughtfulness, remembrance, and the deep emotions associated with love and memory. Pansy purple's association with romantic sentiment and garden beauty has made it popular in floral and romantic design.
#7851A9	purples	Royal Purple		A rich purple with blue undertones that has been associated with royalty, power, and divine authority since ancient times. This color represents the highest levels of social status and spiritual significance, having been reserved for monarchs, religious leaders, and the elite throughout history. Royal purple's association with luxury and authority has made it a staple in ceremonial and high-end design.
#79443B	reds	Bole		A soft medium red reminiscent of ripe cherries.
#796878	purples	Old Lavender		A muted, dusty purple that captures the faded beauty of dried lavender flowers. This color represents nostalgia, gentle wisdom, and the passage of time. Old lavender's association with vintage charm and peaceful memories has made it popular in heritage design and romantic aesthetics.
#7B1113	reds	UP Maroon		A vibrant dark red reminiscent of a fresh rose.
#7B3F00	oranges	Chocolate (Traditional)		A vibrant dark orange reminiscent of chocolate bars.
#7B68EE	blues	Medium Slate Blue		A sophisticated blue-purple that mimics the appearance of weathered slate rock with a subtle blue tint. This color represents durability, stability, and natural beauty. Medium slate blue's association with architectural materials and natural stone has made it popular in interior design and urban planning.
#7BB661	greens	Bud Green		The fresh yellow‑green of new plant shoots emerging in early spring.
#7C0A02	reds	Barn Red		A vibrant dark red reminiscent of brick walls.
#7C4848	reds	Tuscan Red		Similar to ripe cherries, it's a muted medium red.
#7CB9E8	blues	Aero		A delicate, airy blue inspired by the color of the sky seen from high altitudes. The name 'Aero' comes from the Latin word for air, and this shade was popularized in the early 20th century for use in aviation uniforms and insignia. Its light, uplifting tone evokes the optimism of early flight and the boundless possibilities of the open sky.
#7CFC00	greens	Lawn Green		A bright, vivid green that captures the fresh, manicured appearance of a well-maintained lawn. This color represents the ideal of suburban perfection and outdoor leisure. Lawn green's association with outdoor activities, sports, and family gatherings has made it popular in athletic equipment and outdoor furniture. The color's cheerful, natural quality evokes feelings of summer and outdoor recreation.
#7E5E60	reds	Deep Taupe		Similar to brick walls, it's a muted medium red.
#7ED4E6	blues	Middle Blue		A classic Crayola hue from 1958 capturing the clarity of a midday sky.
#7F00FF	purples	Violet (Color Wheel)		The standard violet at the edge of the visible spectrum, long linked to mysticism and creativity.
#7F1734	purples	Claret		Similar to lavender fields, it's a vibrant dark purple.
#7FFFD4	greens	Aquamarine		Named for seawater, this gem-like hue is the birthstone for March.
#800000	reds	Maroon (Web)		A deep, rich red-brown that takes its name from the French word 'marron,' meaning chestnut. This color has been associated with academic institutions and military uniforms throughout history. Maroon's association with tradition, authority, and sophistication has made it popular in educational and corporate branding. The color's dignified, timeless quality makes it ideal for creating serious, professional environments.
#800020	reds	Burgundy		Named for the famed wine region of France, this deep red suggests richness and refined taste.
#800080	purples	Patriarch		A deep, authoritative purple that represents patriarchal leadership and traditional authority structures. This color symbolizes wisdom, experience, and the weight of historical responsibility. Patriarch's association with institutional power and traditional values has made it significant in formal and ceremonial contexts.
#801818	reds	Falu Red		Traditional pigment from the Falun copper mines of Sweden, famous for painting wooden cottages.
#80461B	oranges	Russet		A rustic brownish orange recalling autumn leaves and the skin of russet potatoes.
#807532	yellows	Spanish Bistre		Similar to morning sunlight, it's a soft medium yellow.
#808000	yellows	Olive		A deep, earthy yellow-green inspired by the olive fruit, which has been cultivated in the Mediterranean for over 6,000 years. This color represents peace, wisdom, and the connection between nature and human culture. Olive's association with Mediterranean heritage and sustainable living has made it popular in organic and heritage design.
#808080	neutrals	Gray (Web)		A muted medium neutral reminiscent of soft ash.
#80FF00	greens	Chartreuse (Web)		This bright web-safe color recalls highlighter pens and neon accents.
#81613C	oranges	Coyote Brown		A tactical brown used on modern U.S. military desert gear.
#826644	oranges	Raw Umber		A soft medium orange reminiscent of a glowing sunset.
#838996	blues	Roman Silver		A muted medium blue reminiscent of clear skies.
#841617	reds	OU Crimson Red		Similar to brick walls, it's a vibrant medium red.
#841B2D	reds	Antique Ruby		Similar to brick walls, it's a vibrant medium red.
#848482	neutrals	Battleship Grey		A muted, tarnished gray that mimics the appearance of aged silver metal. This color represents the passage of time, heritage, and the beauty of well-worn objects. Old silver's association with antique elegance and traditional craftsmanship has made it popular in heritage design and vintage aesthetics.
#856088	purples	Chinese Violet		Similar to lavender fields, it's a muted medium purple.
#856D4D	oranges	French Bistre		Similar to autumn leaves, it's a muted medium orange.
#85754E	oranges	Gold Fusion		A modern metallic orange-gold with a subtle sheen, popular for automotive finishes.
#8601AF	purples	Violet (RYB)		Similar to violet blossoms, it's a vibrant medium purple.
#86608E	purples	French Lilac		A dignified, authoritative purple that represents ceremonial grandeur and institutional authority. This color symbolizes the weight of tradition, the dignity of official proceedings, and the solemnity of important occasions. Pomp and Power's association with formal ceremonies and institutional prestige has made it significant in governmental and ceremonial contexts.
#86A1A9	blues	Tourmaline		A complex blue-gray named after the tourmaline gemstone, which is celebrated for its remarkable range of colors and its role in both ancient and modern jewelry. Tourmaline has been prized since antiquity in cultures from Egypt to China, believed to inspire creativity and protect against negative energy. The color tourmaline blue evokes the gemstone's rare blue-green varieties, which were once mistaken for sapphires and are now among the most valuable. This shade is associated with clarity, insight, and the mysterious beauty of natural minerals.
#87421F	oranges	Fuzzy Wuzzy		Crayola coined this warm brown in 1998, named after the classic children's rhyme.
#87CEEB	blues	Sky Blue		A vibrant light blue reminiscent of a clear sky.
#87CEFA	blues	Light Sky Blue		A bright, cheerful blue that captures the pure color of a clear summer sky. This color represents openness, optimism, and infinite possibility. Light sky blue's association with good weather and positive outlooks has made it popular in travel, aviation, and outdoor recreation branding. The color's uplifting quality makes it ideal for creating bright, welcoming environments.
#87FF2A	greens	Spring Frost		A vibrant medium green reminiscent of pine forests.
#880085	purples	Mardi Gras		A vibrant dark purple reminiscent of royal velvet.
#8806CE	purples	French Violet		A vivid shade favored by French Impressionists for its intensity.
#882D17	reds	Sienna		A natural earth pigment composed of iron oxide and clay minerals, named after the Italian city of Siena in Tuscany where it was originally mined. This warm, transparent pigment has been used since prehistoric times and was particularly valued during the Renaissance for its ability to create natural flesh tones and warm shadows. Raw sienna has a yellow-brown color that becomes a rich red-orange when heated to create burnt sienna.
#893843	reds	Solid Pink		A punchy pink-magenta that gained popularity in 1980s fashion and graphic art.
#893F45	reds	Cordovan		Similar to ripe cherries, it's a soft medium red.
#89CFF0	blues	Baby Blue		A soft pastel popularized in 19th‑century infant wear.
#8A2BE2	purples	Blue-Violet		A dramatic mix of blue and violet used frequently in stage lighting.
#8A3324	reds	Burnt Umber		A deep, warm brown pigment created by heating raw umber (iron oxide and manganese oxide clay) to intensify its color. This ancient pigment was used in prehistoric cave paintings and has been a staple in artists' palettes for centuries. The name 'umber' comes from the Latin 'umbra,' meaning shadow, reflecting its use in creating dark tones. Burnt umber's rich, transparent quality makes it perfect for underpainting and creating depth in oil paintings.
#8A496B	purples	Twilight Lavender	night		A dusky, muted purple inspired by the fleeting colors of lavender fields at dusk. Twilight lavender captures the serene transition from day to night, evoking feelings of calm, reflection, and gentle mystery. This color is often used in design to suggest tranquility, romance, and the poetic beauty of evening light over blooming landscapes.
#8A795D	oranges	Shadow		A muted brown-orange once used on interior walls for its ability to mask soot and shadows.
#8A7F80	neutrals	Rocket Metallic		A muted medium neutral reminiscent of soft ash.
#8A9A5B	greens	Moss Green		A natural, earthy green inspired by the moss that grows on trees and rocks in forest environments. This color represents the quiet beauty of natural landscapes and the slow, steady growth of nature. Moss green's association with organic living and environmental harmony has made it popular in sustainable design and outdoor branding.
#8B0000	reds	Dark Red		Similar to a fresh rose, it's a vibrant dark red.
#8B008B	purples	Dark Magenta		An intense hue linked to psychedelic art of the 1960s.
#8B4513	oranges	Saddle Brown		Similar to autumn leaves, it's a vibrant medium orange.
#8B72BE	purples	Middle Blue Purple		A moderate violet bridging blue and purple on the spectrum.
#8B8589	neutrals	Taupe Gray		A subdued gray with taupe undertones, favored by early modernist architects.
#8B8680	neutrals	Middle Grey		This neutral evokes driftwood with its muted medium tone.
#8BA8B7	blues	Pewter Blue		A soft, muted blue-gray inspired by pewter metal, which has been used in traditional crafts and household items for centuries. This color represents traditional craftsmanship, durability, and the practical beauty of everyday objects. Pewter Blue's association with heritage crafts and timeless design has made it popular in traditional and heritage design.
#8C92AC	blues	Cool Grey		This blue evokes a twilight horizon with its muted light tone.
#8CBED6	blues	Dark Sky Blue		Similar to a clear sky, it's a soft light blue.
#8D4E85	purples	Razzmic Berry		A muted medium purple reminiscent of lavender fields.
#8DA399	greens	Morning Blue	night		A soft, cool blue-gray that captures the gentle light of early morning. This color represents the peaceful transition from night to day and the promise of new beginnings. Morning blue's association with calmness and fresh starts has made it popular in wellness and meditation design.
#8DD9CC	blues	Middle Blue Green		A soft light blue reminiscent of clear skies.
#8E3A59	purples	Quinacridone Magenta		A deep, rich magenta pigment first synthesized in 1958, known for its exceptional lightfastness and color strength. This synthetic pigment revolutionized magenta colors in art, offering artists a powerful, permanent alternative to traditional organic dyes. Quinacridone magenta's association with modern artistic innovation and technical excellence has made it significant in contemporary art and industrial applications.
#8E4585	purples	Plum		A deep, rich purple inspired by the plum fruit, which has been cultivated for its sweet taste and nutritional value for thousands of years. This color represents abundance, wisdom, and the natural sweetness of autumn harvests. Plum's association with seasonal beauty and natural abundance has made it popular in food and seasonal design.
#8F00FF	purples	Electric Violet		A deep, rich purple inspired by the violet flower, which has been celebrated in poetry, art, and folklore for its delicate beauty and sweet fragrance. Violets have been associated with modesty, faithfulness, and the arrival of spring since ancient times. The color violet represents creativity, spirituality, and the mysterious beauty of nature, making it a favorite in artistic and spiritual contexts.
#8FBC8F	greens	Dark Sea Green		Similar to the open sea, it's a muted light green.
#8FD400	greens	Sheen Green		A vibrant medium green reminiscent of pine forests.
#905D5D	reds	Rose Taupe		Similar to rose petals, it's a muted medium red.
#90EE90	greens	Light Green		A fresh, bright green that captures the vibrant energy of new spring growth. This color represents renewal, vitality, and the promise of new beginnings. Light green's association with nature and growth has made it popular in environmental and wellness branding. The color's cheerful, uplifting quality makes it ideal for creating positive, energizing environments.
#913831	reds	Red Ocher (Red Ochre)		Similar to a fresh rose, it's a soft medium red.
#914E75	purples	Sugar Plum		Similar to royal velvet, it's a soft medium purple.
#915C83	purples	Antique Fuchsia		This purple evokes violet blossoms with its muted medium tone.
#915F6D	purples	Mauve Taupe		A sophisticated, muted purple inspired by glacé fruits, which are candied fruits preserved in sugar syrup. This color represents the refined art of food preservation and the elegant traditions of European confectionery. Mauve taupe's association with luxury desserts and artisanal craftsmanship has made it popular in gourmet and heritage design.
#91A3B0	blues	Cadet Grey		Similar to clear skies, it's a muted light blue.
#922B3E	reds	Red-Violet (Color Wheel)		Named after a fresh rose, this red has a soft medium look.
#9370DB	purples	Medium Purple		A balanced purple that represents the ideal medium tone between light and dark purples. This color has been associated with creativity, spirituality, and artistic expression throughout history. Medium purple's association with imagination and innovation has made it popular in creative industries and educational settings.
#93C572	greens	Pistachio		A fresh, natural green inspired by the pistachio nut, which has been cultivated in the Middle East for over 3,000 years. This color represents natural abundance, healthy living, and the rich traditions of Mediterranean agriculture. Pistachio's association with natural food and wellness has made it popular in organic and health-conscious branding.
#93CCEA	blues	Light Cornflower Blue		A soft, delicate blue inspired by the cornflower (Centaurea cyanus), a wildflower native to Europe that was once a common sight in grain fields. This color represents the gentle beauty of wildflowers and the pastoral landscapes of rural Europe. Light cornflower blue's association with natural beauty and simplicity has made it popular in cottage-style design and romantic fashion.
#9400D3	purples	Dark Violet		A vibrant medium purple reminiscent of royal velvet.
#954535	reds	Chestnut		Similar to a fresh rose, it's a soft medium red.
#960018	reds	Carmine		A deep red pigment extracted from the cochineal insect (Dactylopius coccus), which lives on prickly pear cacti in Central and South America. This dye was highly prized by the Aztecs and was one of the most valuable exports from the New World to Europe. It takes approximately 70,000 insects to produce one pound of carmine dye. The pigment's intensity and permanence made it popular for royal garments and religious vestments, though modern versions often use synthetic alternatives.
#963D7F	purples	Violet (Crayola)		Similar to violet blossoms, it's a soft medium purple.
#964B00	oranges	Brown		This orange evokes a glowing sunset with its vibrant dark tone.
#967117	oranges	Mode Beige / Sand Dune		A sophisticated, warm beige representing refined elegance in fashion. Also known as bistre brown, this earthy tone evokes timeless style and natural landscapes.
